"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.01.2025","5.316,2","5.392,5","5.511,0","5.275,5","","-2,34%"
"30.01.2025","5.443,8","5.433,6","5.501,6","5.401,1","","2,03%"
"29.01.2025","5.335,6","5.277,2","5.399,2","5.203,8","0,00K","2,72%"
"28.01.2025","5.194,2","5.341,3","5.378,1","5.166,1","0,00K","-1,56%"
"27.01.2025","5.276,8","5.201,5","5.309,1","5.018,1","0,00K","-3,52%"
"24.01.2025","5.469,1","5.479,9","5.582,2","5.458,0","0,00K","0,75%"
"23.01.2025","5.428,3","5.324,1","5.540,7","5.270,0","0,00K","-0,22%"
"22.01.2025","5.440,0","5.510,3","5.513,2","5.397,8","0,00K","-1,65%"
"21.01.2025","5.531,0","5.306,6","5.581,9","5.245,1","0,00K","2,44%"
"20.01.2025","5.399,1","5.350,9","5.687,1","5.236,7","0,00K","-1,16%"
"17.01.2025","5.462,1","5.345,3","5.514,9","5.325,4","0,00K","4,47%"
"16.01.2025","5.228,3","5.196,7","5.297,8","5.126,7","0,00K","-0,04%"
"15.01.2025","5.230,3","5.014,2","5.260,4","4.980,0","","4,78%"
"14.01.2025","4.991,8","4.915,1","5.015,3","4.878,8","0,00K","2,77%"
"13.01.2025","4.857,4","4.875,2","4.881,7","4.576,8","0,00K","-0,65%"
"10.01.2025","4.889,4","4.836,6","4.943,0","4.756,3","0,00K","-0,75%"
"08.01.2025","4.926,5","4.979,4","4.994,4","4.779,4","","-1,87%"
"07.01.2025","5.020,5","5.296,7","5.318,1","4.976,6","","-5,59%"
"06.01.2025","5.317,6","5.210,0","5.357,7","5.167,9","","2,95%"
"03.01.2025","5.165,3","5.044,4","5.192,0","5.012,1","0,00K","2,56%"
"02.01.2025","5.036,5","4.964,3","5.078,3","4.953,4","0,00K","4,41%"
"31.12.2024","4.823,5","4.763,9","4.960,5","4.754,4","0,00K","0,74%"
